mol_id,reason,detail,retained_id
gdb_58,uncharacterized,,
gdb_61,uncharacterized,,
gdb_80,uncharacterized,,
gdb_106,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_185,uncharacterized,,
gdb_186,uncharacterized,,
gdb_245,uncharacterized,,
gdb_267,uncharacterized,,
gdb_280,uncharacterized,,
gdb_286,uncharacterized,,
gdb_317,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_652,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_654,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_697,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_699,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_752,uncharacterized,,
gdb_753,uncharacterized,,
gdb_754,uncharacterized,,
gdb_755,uncharacterized,,
gdb_881,uncharacterized,,
gdb_884,uncharacterized,,
gdb_885,uncharacterized,,
gdb_888,uncharacterized,,
gdb_891,uncharacterized,,
gdb_894,uncharacterized,,
gdb_897,uncharacterized,,
gdb_898,uncharacterized,,
gdb_906,uncharacterized,,
gdb_907,uncharacterized,,
gdb_908,uncharacterized,,
gdb_914,uncharacterized,,
gdb_1003,uncharacterized,,
gdb_1102,uncharacterized,,
gdb_1115,uncharacterized,,
gdb_1117,uncharacterized,,
gdb_1126,uncharacterized,,
gdb_1129,uncharacterized,,
gdb_1150,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_1232,uncharacterized,,
gdb_1259,uncharacterized,,
gdb_1265,uncharacterized,,
gdb_1281,uncharacterized,,
gdb_1284,uncharacterized,,
gdb_1290,uncharacterized,,
gdb_1584,uncharacterized,,
gdb_1585,uncharacterized,,
gdb_1588,uncharacterized,,
gdb_1596,uncharacterized,,
gdb_1600,uncharacterized,,
gdb_1637,uncharacterized,,
gdb_1645,uncharacterized,,
gdb_1652,uncharacterized,,
gdb_1654,uncharacterized,,
gdb_1675,uncharacterized,,
gdb_1680,uncharacterized,,
gdb_1684,uncharacterized,,
gdb_1685,uncharacterized,,
gdb_1686,uncharacterized,,
gdb_1806,uncharacterized,,
gdb_1898,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_1994,uncharacterized,,
gdb_2003,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_2007,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_2010,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_2013,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_2018,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_2044,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_2046,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_2356,uncharacterized,,
gdb_2357,uncharacterized,,
gdb_2386,uncharacterized,,
gdb_2411,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_2412,invalid_structure,"Explicit valence for atom # 2 C, 5, is greater than permitted",
gdb_2419,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_2422,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_2423,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_2424,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_2427,invalid_structure,"Explicit valence for atom # 4 C, 5, is greater than permitted",
gdb_3495,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_3499,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_3502,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_3506,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_3508,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_3510,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_3522,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_3523,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_3529,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_3532,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_3535,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_3538,invalid_structure,"Explicit valence for atom # 1 C, 5, is greater than permitted",
gdb_3541,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_3542,invalid_structure,"Explicit valence for atom # 3 C, 5, is greater than permitted",
gdb_3704,uncharacterized,,
gdb_3751,uncharacterized,,
gdb_3763,uncharacterized,,
gdb_3771,uncharacterized,,
gdb_3773,uncharacterized,,
gdb_3831,uncharacterized,,
gdb_3838,uncharacterized,,
gdb_3842,uncharacterized,,
gdb_3885,uncharacterized,,
gdb_3886,uncharacterized,,
gdb_3891,uncharacterized,,
gdb_3895,uncharacterized,,
gdb_3899,uncharacterized,,
gdb_3941,uncharacterized,,
gdb_3945,uncharacterized,,
gdb_4010,uncharacterized,,
gdb_4232,uncharacterized,,
gdb_4239,uncharacterized,,
gdb_4240,uncharacterized,,
gdb_4260,invalid_structure,"Explicit valence for atom # 1 C, 4, is greater than permitted",
gdb_4265,invalid_structure,"Explicit valence for atom # 1 C, 4, is greater than permitted",
gdb_4266,uncharacterized,,
gdb_4267,uncharacterized,,
gdb_4276,uncharacterized,,
gdb_4277,uncharacterized,,
gdb_4278,uncharacterized,,
gdb_4290,uncharacterized,,
gdb_4291,uncharacterized,,
gdb_4292,uncharacterized,,
gdb_4293,uncharacterized,,
gdb_4297,invalid_structure,"Explicit valence for atom # 1 C, 4, is greater than permitted",
gdb_4298,invalid_structure,"Explicit valence for atom # 1 C, 4, is greater than permitted",
gdb_4303,uncharacterized,,
gdb_4304,invalid_structure,"Explicit valence for atom # 1 C, 4, is greater than permitted",
gdb_4305,invalid_structure,"Explicit valence for atom # 1 C, 4, is greater than permitted",
gdb_4329,uncharacterized,,
gdb_4383,invalid_structure,"Explicit valence for atom # 1 C, 4, is greater than permitted",
gdb_4386,invalid_structure,"Explicit valence for atom # 1 C, 4, is greater than permitted",
gdb_4389,invalid_structure,"Explicit valence for atom # 1 C, 4, is greater than permitted",
gdb_4392,uncharacterized,,
gdb_4395,uncharacterized,,
gdb_4396,uncharacterized,,
gdb_4422,uncharacterized,,
gdb_4423,uncharacterized,,
gdb_4427,uncharacterized,,
gdb_4429,uncharacterized,,
gdb_4430,uncharacterized,,
gdb_4435,uncharacterized,,
gdb_4436,uncharacterized,,
gdb_4439,uncharacterized,,
gdb_4441,uncharacterized,,
gdb_4444,uncharacterized,,
gdb_4445,uncharacterized,,
gdb_4450,uncharacterized,,
gdb_4451,uncharacterized,,
gdb_4555,uncharacterized,,
gdb_4558,uncharacterized,,
gdb_4561,uncharacterized,,
